NO_RES,RES_GND,RES_AGE,RES_GEN,RES_NAT,RES_REL,RES_MAR,RES_EDU,RES_EMP,FAM_STA,SUM_FAM_SIZ,FAM_INC,FAM_EXP_WAT,FAM_EXP_SUM,WCM_BOI,WCM_FIL,WCM_MAC,DWP_QUA,DWP_LIM,DWP_FIN,DWP_INF,DWP_SIC,TOT_WAT_CON_1
64,6,32,1,1,1,1,4,2,2,4,75000,310,33000,1,2,2,2,1,2,2,2,0
65,6,60,2,1,1,1,3,1,1,3,80000,310,41800,1,2,1,2,1,2,1,2,21
66,6,46,1,1,1,2,4,1,1,4,60000,310,36500,1,2,1,2,2,2,2,2,21
67,6,62,1,1,1,1,4,1,1,3,75000,310,36500,1,1,2,2,2,2,2,2,1000.5
68,3,68,1,1,1,1,2,2,1,2,2000,310,13000,1,1,2,1,2,2,2,2,1000
70,1,79,1,1,1,1,1,4,1,1,7500,310,20600,1,2,2,1,1,2,2,2,2000
71,1,67,1,1,1,2,1,4,1,1,7500,310,7250,1,2,2,1,2,2,1,2,1000
72,1,56,1,1,1,1,3,2,1,4,30000,310,23250,1,2,2,2,1,2,2,2,1000
73,1,50,1,1,1,1,3,4,1,3,15000,220,9920,2,2,1,1,1,2,1,2,2000
76,6,24,2,1,1,1,2,2,1,3,30000,310,23000,1,2,2,2,1,2,2,2,1648
77,3,55,2,1,1,1,1,4,1,3,75000,310,43200,2,2,2,2,2,2,2,2,480
78,1,53,1,1,1,1,4,1,2,5,40000,310,60000,1,2,1,1,2,2,2,2,2040
79,6,35,1,1,1,1,3,1,2,4,55000,550,23050,1,2,2,2,1,2,2,2,1000
84,1,63,1,1,1,1,2,3,1,2,35000,700,28100,2,2,1,2,2,2,2,2,540
86,1,73,2,1,1,1,3,3,1,2,29000,310,25500,1,2,2,2,2,2,1,2,240
87,1,43,1,1,1,1,3,2,2,5,35000,210,21910,2,2,2,2,2,2,2,2,3200
88,1,80,2,1,1,1,1,3,1,2,40000,310,5200,2,2,2,2,1,2,1,2,270
89,1,66,2,1,1,1,2,3,1,5,15000,310,8000,2,2,2,1,1,2,2,2,400
90,1,27,1,1,1,2,5,1,1,4,40000,310,23000,1,2,2,2,2,2,2,2,1000
91,1,23,2,1,1,2,4,4,1,5,60000,310,45000,1,2,1,1,1,2,1,2,420
92,3,68,1,1,1,2,2,1,1,2,10000,310,20000,1,2,2,1,1,1,2,2,0
93,1,48,1,1,1,1,3,3,1,4,6000,310,10000,1,2,2,2,2,2,2,2,600
95,1,41,1,1,1,1,3,1,1,5,40000,310,50000,2,2,2,1,2,1,1,2,2000
100,1,27,1,1,1,1,4,1,1,4,50000,310,25800,1,2,2,2,2,2,2,2,2000
101,1,30,1,1,1,1,4,2,2,5,75000,310,257000,1,2,2,2,2,2,2,2,1000
102,1,50,2,1,1,1,1,1,1,5,40000,310,35500,2,2,2,2,2,2,2,2,1500
103,1,56,2,1,1,1,2,3,2,6,50000,1000,36000,2,2,2,2,2,2,2,2,1500
108,1,21,1,1,1,1,4,3,1,4,60000,800,37300,2,2,2,2,2,2,2,2,1250
109,1,30,1,1,1,1,3,3,1,4,30000,300,20400,2,2,2,2,2,2,2,2,1000
110,1,62,1,1,1,1,4,3,2,4,20000,310,34500,1,2,2,2,2,2,2,2,3200
111,1,27,2,1,1,2,4,3,1,5,40000,200,62200,1,2,1,2,2,2,1,2,15000
112,1,47,2,1,1,1,3,1,1,6,100000,310,64800,1,2,2,2,2,2,1,2,30000
113,1,74,1,1,1,1,3,4,1,4,40000,300,25500,1,2,2,2,2,2,1,2,35000
118,1,47,2,1,1,1,3,1,2,6,45000,310,64800,1,2,2,2,2,2,1,2,30000
123,1,42,2,1,1,1,4,1,2,5,85000,400,27400,1,2,2,1,1,2,2,2,2025
124,1,57,2,1,1,1,2,1,1,3,90000,200,34200,2,2,2,1,2,2,1,2,4040
125,1,50,1,1,1,1,2,3,2,3,80000,310,68500,2,2,1,1,1,2,2,2,3040
126,1,52,1,1,1,1,3,4,2,5,23000,1450,19450,1,1,1,1,1,2,1,2,2200
127,1,96,2,1,1,1,1,4,2,3,20000,200,17200,1,2,2,1,1,2,1,2,2080
132,1,37,1,1,1,1,2,1,1,3,45000,400,31900,1,2,1,1,1,2,1,2,600
135,1,43,1,1,1,1,3,4,2,5,35000,310,22000,1,2,2,2,1,2,1,2,20500
136,1,75,1,1,1,1,2,3,2,3,30000,310,12300,1,2,2,2,2,1,1,2,7500
